Compound_ID,Name,ChineseName,IonMode,Formula,MolecularWeight,m/z,MassError,Adduct,RT (min),Score,Level,Column,ClassI,ClassI_(Chinese),ClassII,ClassII_(Chinese),ClassIII,ClassIII_(Chinese),CAS,HMDB_ID,SuperClass(HMDB),Class(HMDB),SubClass(HMDB),Other_name(KEGG_name),KEGG,KEGG_MapID,Lipidmaps_ID,CATEGORY(Lipidmaps),MAIN_CLASS(Lipidmaps),SUB_CLASS(Lipidmaps),PubChemID,SMILES,InChIKey,PGF1,PGF2,PGF3,PGFM1,PGFM2,PGFM3,HSF1,HSF2,HSF3,HSM1,HSM2,HSM3,LSF1,LSF2,LSF3,LSM1,LSM2,LSM3,YJF1,YJF2,YJF3,YJM1,YJM2,YJM3,SJF1,SJF2,SJF3,SJM1,SJM2,SJM3,SHTF1,SHTF2,SHTF3,SHTM1,SHTM2,SHTM3,XSF1,XSF2,XSF3,XSM1,XSM2,XSM3,YSF1,YSF2,YSF3,YSM1,YSM2,YSM3,PG.aver,HS.aver,LS.aver,YJ.aver,SJ.aver,SHT.aver,XS.aver,YS.aver,P-value
Com_4339_pos,Kadangustin C,_,P,C34H38O11,622.24141,623.24837,0.55103,[M+H]+,8.806,0.52,2,C18,Phenylpropanoids and polyketides,苯丙素类和聚酮类,Tannins,单宁,Hydrolyzable tannins,水解单宁,_,_,_,_,_,_,_,_,_,_,_,_,_,CC1C(C2=CC(=C(C(=C2C3=C(C(=C(C=C3C(C1(C)O)OC(=O)C=CC4=CC=CC=C4)OC)OC)O)OC)OC)OC)OC(=O)C,HCRDYSMLGNXTDO-FGMNBCQPSA-N,396286.1473,3207349.547,335126.6428,1211403.061,2112281.518,181126.4187,131760.2049,4044897.715,17368799.2,440180.1535,6135584.657,1027197.547,111871118.6,3249279.172,10444425.37,1722354.3,2920372.912,350359.0687,19879436.82,84020724.59,134216739.3,27330034.72,3088437.028,491714.7403,5634681.91,6669154.483,5452468.747,1935848.537,2111321.166,2437848.681,2506072.118,16901209.92,76290885.26,672402.8193,7031481.414,1435063.338,11333732.67,22103135.31,59631872.37,647971.0815,3023616.543,191875.1551,928213.6048,310192.3971,1161948.502,873894.1465,577462.5685,1048143.668,1240595.556,4858069.914,21759651.58,44837847.87,4040220.587,17472852.48,16155367.19,816642.4811,0.043183
Com_2511_pos,"1,6-Dinitropyrene","1,6-二硝基芘",P,C16H8N2O4,292.04841,293.05351,7.49107,[M+H]+,2.781,0.68,2,C18,Benzenoids,苯类化合物,Pyrenes,芘类,_,_,42397-64-8,_,_,_,_,"1,6-Dinitropyrene",C14424,_,_,_,_,_,_,C1=CC2=C(C=CC3=C2C4=C1C=CC(=C4C=C3)[N+](=O)[O-])[N+](=O)[O-],GUXACCKTQWVTLG-UHFFFAOYSA-N,32862438.93,55874317.64,26950892.16,61276692.46,83003051.39,149503073,12073405.65,20897693.33,9780148.346,1295250.627,14112844.7,8509395.892,43222172.3,154056814.4,75866660.63,84739750.32,40303896.3,127522514.5,50987849.87,18936591.82,48827323.09,46995961.89,80952332.64,8131357.913,11701739.15,48993031.07,76436994.56,134980847,79792942.57,103565630.4,21769779.42,30114278.4,23491618.35,182953963.8,188863505.4,243565640.2,36223593.87,32077017.61,14706413.79,86420385.63,110405981.5,144481114.1,22687594.51,31278466.82,8866211.288,194367422.6,108830132.8,106057213.3,68245077.6,11111456.43,87618634.74,42471902.87,75911864.12,115126464.3,70719084.42,78681173.56,0.0036152
Com_1777_pos,2-Formaminobenzoylacetate,_,P,C10H9NO4,207.05316,208.05977,3.31198,[M+H]+,2.586,0.61,2,C18,Organic oxygen compounds,有机氧化合物,Organooxygen compounds,有机氧化合物,Carbonyl compounds,羰基化合物,_,_,_,_,_,2-Formaminobenzoylacetate,C05835,map00380,_,_,_,_,_,C1=CC=C(C(=C1)C(=O)CC(=O)O)NC=O,ZGQVEYFFYPOUKD-UHFFFAOYSA-N,4811052.103,3567645.731,988043.3664,20258223.09,6896358.15,3752660.615,4830057.513,4342314.388,238298.5047,117695.0425,9786802.109,14929511.34,6869035.865,10541008.14,7219646.664,5375872.301,1139953.345,5534909.631,2742040.245,28590645.8,35803487.24,25731718.12,8697285.32,373481.7157,7793218.124,16038986.32,17540843.93,20716868.4,18111285.68,15133546.78,10299068.21,9840272.245,47636276.88,7586675.428,12582982.11,8433954.963,14459057.65,9637789.382,7878174.263,1899820.448,5788692.661,3089637.052,48830763.42,1827388.51,22148254.31,4611951.48,3749689.789,15442794.34,6712330.509,5707446.482,6113404.324,16989776.41,15889124.87,16063204.97,7125528.577,16101806.98,0.14956
Com_1616_pos,Pestalopyrone,_,P,C10H12O3,180.07864,181.08571,1.24614,[M+H]+,0.982,0.68,2,C18,Organoheterocyclic compounds,有机杂环化合物,Pyrans,吡喃,Pyranones and derivatives,吡喃酮及其衍生物,_,_,_,_,_,_,_,_,_,_,_,_,_,CC=C(C)C1=CC(=CC(=O)O1)OC,HOXZLCMLRLXRIN-QPJJXVBHSA-N,3553918.029,2799933.701,3019950.729,2993282.674,3620479.629,3823938.546,3444220.23,2654678.988,4158008.94,4693140.102,3513937.824,4397668.451,3773792.583,2916492.735,3544812.741,4268467.364,5858961.903,3898413.408,3683987.152,5357989.213,3359584.005,3535688.786,3558360.936,5044356.826,2954540.089,3579840.754,2442869.152,3827635.873,3258774.2,3337076.45,2834769.763,2521242.463,3930659.721,4114269.883,3492449.965,4663481.441,3868007.847,2941420.708,3453231.036,3865757.882,3407962.278,3383970.551,4152133.063,3453706.408,4507490.407,4680171.739,4581513.294,3835069.766,3301917.218,3810275.756,4043490.122,4089994.487,3233456.086,3592812.206,3486725.051,4201680.78,0.11892
Com_1621_pos,"(Z,Z,Z)-3,6,9-Dodecatrien-1-ol",_,P,C12H20O,180.15141,181.15824,2.59142,[M+H]+,9.892,0.76,2,C18,Lipids and lipid-like molecules,脂质和类脂分子,Fatty Acyls,脂肪酰类,Fatty alcohols,脂肪醇,_,_,_,_,_,"(3Z,6Z,9Z)-3,6,9-Dodecatrien-1-ol; (Z,Z,Z)-3,6,9-Dodecatrien-1-ol",C08375,_,LMFA05000097,Fatty Acyls [FA],Fatty alcohols [FA05],_,_,CCC=CCC=CCC=CCCO,OFAUAWIRDOCHFP-PDBXOOCHSA-N,29330737.96,23374829.83,22032335.13,29759590.78,34142534.29,35215365.77,33037365.46,23676203.64,20337011.58,30214740.01,29045473.05,36736002.85,25597762.09,22010180.84,22104041.05,38705532.11,31782394.55,34850588.66,19094405.04,20697110.35,28301480.48,18264494.59,29778041.29,41047166.62,34265172.01,27429003.8,18898837.55,26639946.34,19284853.28,25658513.62,25559983.56,17246737.93,29676259.75,38433657.17,28953164.07,34484143.61,20598741.08,27900843.1,30118965.8,27386160.76,25700032.05,29374597.2,25655299.28,30169371.72,37378850.93,44039757.92,44049424.43,31202320.66,28975898.96,28841132.76,29175083.22,26197116.39,25362721.1,29058991.02,26846556.67,35415837.49,0.3326
Com_3209_pos,Bengamide E,_,P,C17H30N2O6,358.21039,359.21723,1.28218,[M+H]+,7.446,0.53,2,C18,Organic acids and derivatives,有机酸及其衍生物,Carboxylic acids and derivatives,羧酸及其衍生物,"Amino acids, peptides, and analogues",氨基酸、肽和类似物,_,_,_,_,_,_,_,_,_,_,_,_,_,CC(C)C=CC(C(C(C(C(=O)NC1CCCCNC1=O)OC)O)O)O,QBOZJYBWSKZELU-XMBAGFDESA-N,9746366.393,23287347.66,25536101.2,14529540.23,12612307.47,11559627.33,6862882.775,20520815.47,15532580.3,15837180.63,16248194.52,7191548.799,48218528.62,64101476.29,52896505.18,9641630.556,38359720.45,17452869.06,10569129.91,9204676.903,12778824.88,11107756.46,11438831.65,13100659.8,7755822.704,15308204.34,18854556.82,11686005.58,11684168.55,10138706.6,17385538.44,9384511.603,15503491.45,7396016.003,12215933.95,6167206.82,15089491.71,14436403.3,12170099.84,18246607.11,11812303,29334306.53,12995548,10629089.8,5253829.967,8317874.697,3679762.011,46788947.65,16211881.72,13698867.08,38445121.69,11366646.6,12571244.1,11342116.38,16848201.92,14610842.02,0.0091394
Com_3920_pos,Ulipristal acetate,醋酸乌利司他,P,C30H37NO4,475.27226,476.27626,6.92126,[M+H]+,8.476,0.83,2,C18,Lipids and lipid-like molecules,脂质和类脂分子,Steroids and steroid derivatives,类固醇和类固醇衍生物,Steroid esters,类固醇酯,126784-99-4,HMDB0259399,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,_,_,_,_,_,_,_,_,CC(=O)C1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)OC(=O)C,OOLLAFOLCSJHRE-ZHAKMVSLSA-N,943082678.1,2052928272,1649811332,2044335772,677234996.2,1008094843,478368333.1,1247819391,972160023.1,13356741.16,277480689.4,260432486.3,111345553,43292828.58,20008230.02,45580730.92,5930720.986,290391633.1,1286881496,1206349251,1134026427,483149853.5,473468138.6,18452108.34,2556811827,2464730532,4636752643,3541543420,4829471556,1562497519,2876799800,3895608117,560244143.1,768442937,852010070.4,390315356.1,1087278158,212187763.4,781206442.4,499970788.7,476289218.7,239169939,548383732.3,820229479.1,188933632,190632910.8,114147923.8,183265250.4,1395914649,541602944.1,86091616.1,767054545.6,3265301250,1557236737,549350385,340932154.7,3.05E-06
Com_1615_pos,Coniferyl alcohol,松柏醇,P,C10H12O3,180.07864,181.08555,2.16878,[M+H]+,7.829,0.63,2,C18,Benzenoids,苯类化合物,Phenols,酚类,Methoxyphenols,甲氧基酚类,458-35-5,HMDB0012915,Benzenoids,Phenols,Methoxyphenols,Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol; trans-Coniferyl alcohol,C00590,map00940;map01061;map01100;map01110,_,_,_,_,_,COC1=C(C=CC(=C1)C=CCO)O,JMFRWRFFLBVWSI-NSCUHMNNSA-N,580852.1711,194146.5963,291992.4434,599996.0895,1000239.81,716841.3977,584288.8978,485501.6064,751249.9792,764663.5642,668725.9027,614867.0386,254780.7271,418263.666,314822.9055,542530.7808,490141.7315,497001.4358,145889.5909,47699.91792,293916.2376,47922.8006,749748.0456,776197.3308,379226.0678,273778.933,294593.6592,294156.9811,314741.9293,352462.1255,209856.0304,440750.2511,420033.4931,519912.8107,434002.5076,587547.2101,454348.8449,167116.4767,347787.2394,514137.4894,499920.1877,316896.7471,381871.5944,554210.7786,492235.872,1092918.911,375043.7543,721623.6795,564011.4181,644882.8315,419590.2078,343562.3206,318159.9493,435350.3838,383367.8309,602984.0983,0.029247
Com_1757_pos,Anofinic acid,_,P,C12H12O3,204.07864,205.08518,3.69594,[M+H]+,7.538,0.52,2,C18,Organoheterocyclic compounds,有机杂环化合物,Benzopyrans,苯并吡喃类,1-benzopyrans,1-苯并吡喃,_,HMDB0033303,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,_,_,_,_,_,_,_,_,CC1(C=CC2=C(O1)C=CC(=C2)C(=O)O)C,AXICIBPYBONRSP-UHFFFAOYSA-N,44206569.47,42280663.58,37576365.1,39810095.85,47969538.61,57671922.35,47927931.01,46347793.86,68534002.88,62713421.82,53971944.02,50778613.92,44590568.26,47494046.25,54501504.8,52404709.06,66820203.44,60066002.67,51007387.81,81032868.08,43512579.64,43212185.84,44080559.42,65778966.4,40599828.94,45314687.69,31858316.02,39579151.36,43023999.32,40112236.14,35630283.12,30965284.08,47988322.56,49908534.78,47915471.62,59337141.34,52366340.67,37229100.86,44122765.09,53758488.03,44544121.28,79331730.34,48695543.09,43446919.5,54121459.65,60123191.72,61397870.13,62700103.3,44919192.49,55045617.92,54312839.08,54770757.86,40081369.91,45290839.58,51892091.04,55080847.9,0.042956
Com_1763_pos,Gibbilimbol C,_,P,C14H20O,204.15141,205.15807,3.12613,[M+H]+,7.018,0.72,2,C18,Benzenoids,苯类化合物,Phenols,酚类,1-hydroxy-2-unsubstituted benzenoids,1-羟基-2-未取代苯类化合物,_,_,_,_,_,_,_,_,_,_,_,_,_,CCCC=CCCCC1=CC=C(C=C1)O,WHTYMTFJEIRTRO-SNAWJCMRSA-N,5146219.66,5418140.663,5912682.086,3667148.67,3540320.264,4522636.752,3857445.34,3603869.189,4348300.598,4775553.14,3864702.029,5111801.564,4041382.875,3637840.175,3809872.529,4394083.84,4937786.745,3699475.637,5899065.956,8794191.517,4482347.562,4699444.383,3953913,7457138.038,3862213.788,4160796.316,3906416.627,4357415.107,3827314.251,3502261.765,2778061.909,3018457.401,4555681.302,4381207.803,3626147.207,4061943.088,4876274.997,2979630.306,4037068.381,5398463.74,4069060.079,6341440.877,3738249.534,3779008.918,5184181.177,5321131.587,6070540.423,5084472.107,4701191.349,4260278.643,4086740.3,5881016.743,3936069.642,3736916.452,4616989.73,4862930.624,0.026555
Com_3714_pos,Leopersin N,_,P,C23H32O8,436.20972,437.22021,7.2903,[M+H]+,6.727,0.52,2,C18,Organic oxygen compounds,有机氧化合物,Organooxygen compounds,有机氧化合物,Carbonyl compounds,羰基化合物,_,_,_,_,_,_,_,_,_,_,_,_,_,CC(=O)OC1(C(=O)C2C3C(CCCC3(C14CCC5(O4)CC(OC5)OC)C)(C(=O)O2)C)C,CHGSKJMRTUWQRQ-JTAQILMUSA-N,6313987.098,16749624.42,12478355.02,23190540.4,18265364.06,20891848.51,26805691,17297909.68,31704087.24,42341503.24,38599207.17,39876897.07,14498370.82,17042394.65,15308399.66,21945735.55,30417540,27838118.64,14778568.18,14559992.92,26770430.25,14804988.01,29513483.75,37410145.29,18700275.46,20564405.01,14778628.73,14391608.95,13586156.66,2448885.761,13146569.68,8064093.954,22761033.07,21852573.28,20730394.5,21926008.81,13752346.27,9558384.123,17995459.27,21337053.8,13774380.65,9231770.492,14294611.38,12421622.27,23653977.64,23963594.62,6975575.184,26230178.35,16314953.25,32770882.57,21175093.22,22972934.73,14078326.76,18080112.21,14274899.1,17923259.91,0.032202
Com_3979_pos,Tjipanazole E,_,P,C24H20Cl2N2O5,486.07493,487.08449,4.64091,[M+H]+,5.535,0.53,2,C18,Organoheterocyclic compounds,有机杂环化合物,Indoles and derivatives,吲哚及其衍生物,Carbazoles,咔唑类,_,_,_,_,_,_,_,_,_,_,_,_,_,C1=CC2=C(C=C1Cl)NC3=C2C=CC4=C3N(C5=C4C=C(C=C5)Cl)C6C(C(C(C(O6)CO)O)O)O,UQSPOMFDKPXRQR-REXJZNOJSA-N,79244087.97,63997613.89,82113925.34,53123306.73,67163832.06,58152364.22,2278083.838,1076426.337,3861840.464,993049.1488,12554929.48,8317611.344,4572539.947,12278401.64,2233468.345,4523627.685,4804867.564,69976461.19,5504902.004,7437864.565,3084211.952,2884612.366,8498597.791,3946677.477,4520306.878,4513858.638,666764.1454,37675526.03,3601074.88,8823615.003,23347596.69,24761234.46,42687538.31,23206490.63,42407942.69,47267535.47,11676979.94,3353828.915,12184505.85,7752317.078,4538021.105,4614958.061,6979755.785,13582515.47,34266856.85,13479925.31,11746028.54,10891841.2,67299188.37,4846990.101,16398227.73,5226144.359,9966857.596,33946389.71,7353435.158,15157820.52,3.45E-07
Com_4209_pos,Oboflavanone B,_,P,C35H36O6,552.25119,553.25479,6.68634,[M+H]+,8.946,0.56,2,C18,Phenylpropanoids and polyketides,苯丙素类和聚酮类,Flavonoids,黄酮类化合物,Flavans,黄烷,_,_,_,_,_,_,_,_,_,_,_,_,_,CCOC(=O)CCCC1CC2CC(O1)(CC3=CC4=C(C(=O)CC(O4)C5=CC=CC=C5)C(=C23)O)C=CC6=CC=CC=C6,ZMNVDIHBBPMZMH-VYTQILBDSA-N,97759370.45,97910737.77,15183606.18,122002873.8,179771904.8,202684948.1,96077249.6,122297308.2,118245610.3,130796794.2,195485505.2,126980579.5,78621483.71,79107304.68,88002393.94,138344730.9,94908910.07,82746937.14,70397779.41,45706611.53,75830141.26,69725980.14,98330376.58,91703946.9,81999774.85,64779405.47,41396992.07,54856841.03,44167307.69,62501349.75,49659236.13,52748631.48,68973376.64,120737260.3,76659692.35,113443408.5,65310399.69,54092027.81,62137720.15,59205015.71,54149686.87,61600097.29,56644549.94,86257152.11,94357971.45,79181132.37,90193010.27,123182841.1,119218906.8,131647174.5,93621960.07,75282472.64,58283611.81,80370267.56,59415824.59,88302776.2,0.029724
Com_1393_pos,Cumene,异丙基苯,P,C9H12,120.0939,121.10112,0.63908,[M+H]+,9.894,0.89,2,C18,Benzenoids,苯类化合物,Benzene and substituted derivatives,苯及其取代衍生物,Cumenes,异丙苯,98-82-8,HMDB0034029,Benzenoids,Benzene and substituted derivatives,Cumenes,Cumene; Isopropylbenzene,C14396,_,_,_,_,_,_,CC(C)C1=CC=CC=C1,RWGFKTVRMDUZSP-UHFFFAOYSA-N,79761663.2,51643890.42,55869339.6,60262972.98,66441605.27,69233960.98,60302863.91,47382064.3,47063270.1,87419590.01,67128682.03,77188879.09,55011642.29,50886090.18,43744373.34,72372960.42,76118323.01,83953284.12,52249814.98,47851374.55,60407733.64,62939536.12,69014260.51,83881320.92,67525662.46,63919192.44,42650614.51,59266977.19,41330410.82,64179438.53,51764519.34,42714596.6,55850239.42,69659854.2,65873337.56,70729108.19,49653969.93,59769162.46,71871541.49,57455097.28,70591879.95,63150367.43,58988669.66,65846509.47,75732150.47,87426983.11,84259944.71,71221751.1,63868905.41,64414224.91,63681112.23,62724006.79,56478715.99,59431942.55,62082003.09,73912668.09,0.48844
Com_1636_pos,1-Methoxy-3-myodesertene,_,P,C11H18O2,182.13068,183.13741,3.11132,[M+H]+,8.194,0.69,2,C18,Lipids and lipid-like molecules,脂质和类脂分子,Prenol lipids,异戊烯醇脂,Monoterpenoids,单萜类,_,_,_,_,_,_,_,_,_,_,_,_,_,CC1CCC2C1C(OC=C2C)OC,IGZUHQCEDUZXSS-QCNRFFRDSA-N,4868695.057,2616285.296,3157061.328,2870681.039,3833904.868,2589454.044,3284127.082,4910420.39,4138264.627,4926217.201,4477099.572,2434598.811,11420048.4,10341446.66,5779948.65,5710037.304,6115915.088,9743770.416,4776084.163,4112188.002,1968903.07,6081034.77,4328457.856,3941331.964,2324586.893,5725596.614,5878888.696,3748424.37,1917480.026,1620201.642,20332550.07,2641865.943,5770048.904,3925020.769,6794460.661,3270567.474,5344894.093,3860548.238,4492019.209,5099796.25,4427060.904,10571374.76,4616588.939,4626380.027,4054800.459,4190056.523,3864724.832,7125134.992,3322680.272,4028454.614,8185194.419,4201333.304,3535863.04,7122418.97,5632615.575,4746280.962,0.0090153
Com_1824_pos,GEIR-1,_,P,C10H12O5,212.06847,213.07443,6.27081,[M+H]+,1.304,0.54,2,C18,Organoheterocyclic compounds,有机杂环化合物,Furopyrans,呋喃吡喃类,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,CC1C2C3C4C1(COC(C4C(=O)O3)O2)O,UCYJAMRRXNXQJP-GEXBLYTOSA-N,91368857.81,82327168.68,107215813.3,98275240.48,102511851.4,113573781.6,115569113,151884466.2,151913805.9,326480.2732,73729088.53,116629842.8,140988241.2,116963805.5,151215915.5,168776291.8,189948108.6,124533205.4,152677256.1,335205909.9,117652293.1,79970871.03,114057841.7,6268560.673,82418202.21,86936193.27,105994232.6,95422797.51,110162516.8,132831202.1,135686248.8,127883789.4,109315069.6,142695551.5,147701386.8,126892657,173176020.8,118603032.8,122518385.9,128309331.8,140744869.5,103774920.3,292675340.9,131872682,178008008.1,130910450.8,143262374.9,135934744.3,99212118.88,101675466.1,148737594.7,134305455.4,102294190.7,131695783.8,131187760.2,168777266.8,0.42353
Com_1834_pos,alpha-Allokainic acid,_,P,C10H15NO4,213.10011,214.10679,2.89681,[M+H]+,1.435,0.55,2,C18,Organic acids and derivatives,有机酸及其衍生物,Carboxylic acids and derivatives,羧酸及其衍生物,"Amino acids, peptides, and analogues",氨基酸、肽和类似物,_,_,_,_,_,alpha-Allokainic acid,C17904,_,_,_,_,_,_,CC(=C)C1CNC(C1CC(=O)O)C(=O)O,VLSMHEGGTFMBBZ-ZKWXMUAHSA-N,421952.6435,4177543.93,3024045.398,439216.458,2264692.517,1468196.124,3584435.2,5756594.638,3661703.747,796040.9624,3448005.9,2673138.311,2186797.656,5445139.707,5228899.329,618150.6833,1668043.424,767373.0451,7727368.897,10937763.16,7836233.977,5664789.145,5410720.489,1558465.331,417134.6542,2448392.429,12332895.84,4449273.852,8088561.464,4351367.449,5941204.076,5654436.967,2595454.868,7152923.881,6004553.617,8542837.755,5880897.197,1310442.34,4183503.02,9262617.735,6035123.352,2820309.034,4063478.515,1452093.885,1498270.501,6839363.042,4243981.59,3376417.223,1965941.178,3319986.46,2652400.641,6522556.834,5347937.615,5981901.861,4915482.113,3578934.126,0.053331
Com_1896_pos,8-Methoxykynurenate,8-甲氧基犬尿酸,P,C11H9NO4,219.05316,220.06003,1.96666,[M+H]+,4.994,0.71,2,C18,Organoheterocyclic compounds,有机杂环化合物,Quinolines and derivatives,喹啉及其衍生物,Quinoline carboxylic acids,喹啉羧酸,_,HMDB0060426,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,8-Methoxykynurenate; Xanthurenic acid 8-methyl ether,C05830,map00380,_,_,_,_,_,COC1=CC=CC2=C1NC(=CC2=O)C(=O)O,BXZSKDOPGDPDEG-UHFFFAOYSA-N,87210.37265,1585302.249,96943.76271,1691471.942,2342552.087,2550333.092,1368612.074,6549996.901,2667203.936,828652.3021,823049.7196,654070.0193,1174767.251,1682972.424,784193.6519,2749454.755,4291024.029,237996.4768,564895.867,6475746.215,5573841.687,3550473.341,587069.2266,87142.15012,154276.9673,1808683.347,517564.046,1600012.2,1401586.862,528859.6926,64525.68971,6046801.315,25542259.65,386726.0729,467986.2135,69728.19589,6624315.654,4580824.008,4423640.208,1758211.462,2600202.743,288541.2071,675587.2945,2182693.591,1828702.932,116648.9356,400743.1412,137272.766,1392302.251,2148597.492,1820068.098,2806528.081,1001830.519,5429671.19,3379289.214,890274.7768,0.65042
Com_1921_pos,Anhalonidine,_,P,C12H17NO3,223.12084,224.12682,5.87965,[M+H]+,5.739,0.55,2,C18,Organoheterocyclic compounds,有机杂环化合物,Tetrahydroisoquinolines,四氢异喹啉,_,_,_,_,_,_,_,Anhalonidine,C16704,map01063,_,_,_,_,_,CC1C2=C(C(=C(C=C2CCN1)OC)OC)O,PRNZAMQMBOFSJY-ZETCQYMHSA-N,401475.2899,1995416.708,791984.5529,1129206.723,1644440.399,930137.4411,558562.4045,432862.7206,1862851.321,1700341.884,1258530.219,1016666.828,2800260.351,1474118.398,1053156.384,1688699.036,1371417.944,294595.5846,209592.9175,1328006.432,604285.9351,2873362.932,1588825.159,1720528.554,1155505.09,1746806.411,994140.7641,1678996.192,1527233.685,1308833.86,1981297.762,1618644.036,1018701.69,908595.1868,287873.4168,1345782.893,2079344.57,1400287.049,682477.7987,223111.6705,1841305.437,160985.5302,1257332.469,1057528.942,1937198.295,1186057.09,695176.764,1130273.672,1148776.852,1138302.563,1447041.283,1387433.655,1401919.334,1193482.498,1064585.343,1210594.539,0.87239
Com_1958_pos,Isoaaptamine,_,P,C13H12N2O2,228.08988,229.09691,1.16955,[M+H]+,5.176,0.56,2,C18,Organoheterocyclic compounds,有机杂环化合物,Quinolines and derivatives,喹啉及其衍生物,8-hydroxyquinolines,8-羟基喹啉,_,_,_,_,_,_,_,_,_,_,_,_,_,CN1C=CC2=NC=CC3=CC(=C(C1=C32)O)OC,MPBUGSHDXOJPKR-UHFFFAOYSA-N,182199.6515,971820.4053,951065.7915,1054754.338,314421.3157,311326.7776,1651353.637,3119427.616,487265.9792,22476.40039,1354376.584,1320389.187,1392632.005,390194.1719,189771.4632,1308739.425,1362323.703,1265491.244,2737016.441,8346968.822,4256744.753,1815301.91,1510285.32,1152726.503,1352812.568,625150.9945,4117450.496,1943478.869,2840898.98,845918.6754,2520290.071,2969159.637,797390.1582,3440954.319,2669777.481,2880955.805,1793639.372,926321.2305,1804327.752,2926891.462,2112772.283,823069.3136,1250516.877,1453004.379,2820093.582,1531181.353,524764.309,1233990.605,630931.3799,1325881.567,984858.6686,3303173.958,1954285.097,2546421.245,1731170.236,1468925.184,0.024814
Com_2034_pos,(+)-Isoaminobisabolenol a,_,P,C15H27NO,237.20926,238.21554,4.27706,[M+H]+,9.335,0.94,2,C18,Lipids and lipid-like molecules,脂质和类脂分子,Prenol lipids,异戊烯醇脂,Sesquiterpenoids,倍半萜类,_,_,_,_,_,_,_,_,_,_,_,_,_,CC1=CCC(CC1)C(C)(CCC(C(=C)C)O)N,TXILJXXOQXLMOA-KKUMJFAQSA-N,102003211.8,71109962.54,71530410.86,70616607.54,92214029.58,90385890.24,85013974.02,75139628.35,80120902.16,115667797.8,97501040.13,100816161,80861733.6,69293088.26,73529969.64,108668245.4,89488714.51,100022745.1,72942000.11,41318192.56,82511251.19,98877246.51,95547339.14,113512797.4,77979756.33,79355486.14,56195799.47,70987099.19,57299537.97,102380267.6,76138414.65,51457378.59,89540513.32,88712293.98,88138320.84,95327627.33,68889950.25,101028443.9,91094964.1,78765617.12,76205509.26,74739933.36,69794722.81,102762878.2,97596793.33,101948257.2,117139713.2,84190516.42,82976685.43,92376583.92,86977416.08,84118137.81,74032991.12,81552424.78,81787402.99,95572146.85,0.51597
Com_2120_pos,Estrane,雌甾烷,P,C18H30,246.23475,247.24127,3.14364,[M+H]+,9.892,0.94,2,C18,Lipids and lipid-like molecules,脂质和类脂分子,Steroids and steroid derivatives,类固醇和类固醇衍生物,Estrane steroids,雌激素类固醇,_,HMDB0251974,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrane; 19-Norandrostane,C19641,_,_,_,_,_,_,CC12CCCC1C3CCC4CCCCC4C3CC2,GRXPVLPQNMUNNX-MHJRRCNVSA-N,2675885641,1761383840,1985284662,2173505165,2466909062,2516610388,2363135098,1847354673,1810965852,3268033941,2696313850,2718673126,1998587077,1843017292,1655186595,2767689637,2560105389,2893345685,1913390753,1957455394,2155105014,2211072929,2453241070,3140994002,2511555047,2245444951,1496194155,2162235968,1685516762,2230776791,1840863590,1530744547,2326196192,2693579333,2352492925,2557783756,1775270120,2312401866,2355300223,1895026073,2427008811,2292315980,2079128666,2425263233,2882316100,3044341568,3214902904,2422285523,2263263126,2450746090,2286321946,2305209860,2055287279,2216943391,2176220512,2678039666,0.43151
Com_2121_pos,Linamarin,菜豆苷,P,C10H17NO6,247.10559,248.11216,2.94786,[M+H]+,1.42,0.68,2,C18,Organic oxygen compounds,有机氧化合物,Organooxygen compounds,有机氧化合物,Carbohydrates and carbohydrate conjugates,碳水化合物和碳水化合物结合物,554-35-8,HMDB0033699,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Linamarin; Phaseolunatin,C01594,map00460;map01110,_,_,_,_,_,CC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O,QLTCHMYAEJEXBT-ZEBDFXRSSA-N,6553430.595,17168387.58,8428796.298,8547278.823,8858489.917,8694513.941,132899195.7,59944866.04,16488164.17,3016666.258,26239471.1,19253368.86,14976274,22273683.17,22675329.91,7056315.721,7971266.994,4279657.164,13770524.89,14666452.45,12960848.27,9887872.813,10214031.52,5029738.386,4825390.63,15572399.8,19884556.7,17176607.11,19862795.96,15196983.91,21470791.04,16448272.15,11771855.43,108414439.3,17721699.39,20038166.32,11183937.53,6068030.224,9604332.682,13767931.47,14570789.35,249188095,10438271.76,8446316.518,6341562.517,19478294.09,12523936.16,213836809.1,9708482.859,42973622.01,13205421.16,11088244.72,15419789.02,32644203.94,50730519.38,45177531.7,0.47173
