"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"	"Item"	"signif"	"Category3"	"keggID"	"Category1"	"Category2"
1	7.82719356018008e-08	7.82719356018008e-08	5.50806718041806	0.025281300110162	"sex        "	"*"	"Diabetic cardiomyopathy"	"Kegg93"	"Human Diseases"	"Cardiovascular disease"
7	4.83301980107937e-08	6.90431400154195e-09	0.485862845511631	0.837649372474682	"Plant:sex  "	"ns"	"Diabetic cardiomyopathy"	"Kegg93"	"Human Diseases"	"Cardiovascular disease"
32	4.54733367843114e-07	1.42104177450973e-08	NA	NA	"Residuals  "	NA	"Diabetic cardiomyopathy"	"Kegg93"	"Human Diseases"	"Cardiovascular disease"
7	4.70401905899543e-08	6.72002722713632e-09	2.55991027123024	0.0326204823838892	"Plant      "	"*"	"Dioxin degradation"	"Kegg94"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	8.50042796336081e-09	8.50042796336081e-09	3.23813165003098	0.0813789330770777	"sex        "	"ns"	"Dioxin degradation"	"Kegg94"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	4.27549840189382e-08	6.10785485984832e-09	2.32671086923143	0.0488040550145842	"Plant:sex  "	"*"	"Dioxin degradation"	"Kegg94"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	8.40032846795909e-08	2.62510264623721e-09	NA	NA	"Residuals  "	NA	"Dioxin degradation"	"Kegg94"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	1.73577775533468e-10	2.47968250762097e-11	1.33199105132852	0.267761485219941	"Plant      "	"ns"	"Dopaminergic synapse"	"Kegg95"	"Organismal Systems"	"Nervous system"
1	1.94707050647804e-11	1.94707050647804e-11	1.04589215875973	0.314124637856326	"sex        "	"ns"	"Dopaminergic synapse"	"Kegg95"	"Organismal Systems"	"Nervous system"
7	1.41798724400845e-10	2.02569606286922e-11	1.08812681468722	0.393832718150835	"Plant:sex  "	"ns"	"Dopaminergic synapse"	"Kegg95"	"Organismal Systems"	"Nervous system"
32	5.95723523553165e-10	1.86163601110364e-11	NA	NA	"Residuals  "	NA	"Dopaminergic synapse"	"Kegg95"	"Organismal Systems"	"Nervous system"
7	1.96768365694947e-07	2.81097665278495e-08	1.59610987215064	0.172363649615439	"Plant      "	"ns"	"Drug metabolism - cytochrome P450"	"Kegg96"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	7.12981989259429e-10	7.12981989259429e-10	0.040484064163077	0.841810603481077	"sex        "	"ns"	"Drug metabolism - cytochrome P450"	"Kegg96"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	7.20810441200234e-08	1.02972920171462e-08	0.58469391514517	0.763188379402625	"Plant:sex  "	"ns"	"Drug metabolism - cytochrome P450"	"Kegg96"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	5.63565544318801e-07	1.76114232599625e-08	NA	NA	"Residuals  "	NA	"Drug metabolism - cytochrome P450"	"Kegg96"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	1.70580433293587e-07	2.43686333276553e-08	1.60557375330675	0.169616492660676	"Plant      "	"ns"	"Drug metabolism - other enzymes"	"Kegg97"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	6.44371906387025e-09	6.44371906387025e-09	0.42455668578226	0.519324615836089	"sex        "	"ns"	"Drug metabolism - other enzymes"	"Kegg97"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	4.39799671573023e-08	6.28285245104318e-09	0.413957683045188	0.886445961671653	"Plant:sex  "	"ns"	"Drug metabolism - other enzymes"	"Kegg97"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	4.85680751120241e-07	1.51775234725075e-08	NA	NA	"Residuals  "	NA	"Drug metabolism - other enzymes"	"Kegg97"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	5.17994757220369e-08	7.39992510314812e-09	3.06826776397306	0.0137342717148504	"Plant      "	"*"	"Efferocytosis"	"Kegg98"	"Cellular Processes"	"Transport and catabolism"
1	4.52705993255648e-10	4.52705993255648e-10	0.187707738430053	0.667737874325757	"sex        "	"ns"	"Efferocytosis"	"Kegg98"	"Cellular Processes"	"Transport and catabolism"
7	8.46978136671048e-09	1.20996876667293e-09	0.501695369946026	0.826185926290329	"Plant:sex  "	"ns"	"Efferocytosis"	"Kegg98"	"Cellular Processes"	"Transport and catabolism"
32	7.71763162528273e-08	2.41175988290085e-09	NA	NA	"Residuals  "	NA	"Efferocytosis"	"Kegg98"	"Cellular Processes"	"Transport and catabolism"
7	2.40035267674397e-11	3.42907525249139e-12	0.300009915082326	0.948665938759923	"Plant      "	"ns"	"Endocytosis"	"Kegg99"	"Cellular Processes"	"Transport and catabolism"
1	7.99343280904562e-13	7.99343280904562e-13	0.06993457190873	0.79312793974666	"sex        "	"ns"	"Endocytosis"	"Kegg99"	"Cellular Processes"	"Transport and catabolism"
7	8.54731398409484e-11	1.22104485487069e-11	1.06829257525134	0.405866037336839	"Plant:sex  "	"ns"	"Endocytosis"	"Kegg99"	"Cellular Processes"	"Transport and catabolism"
32	3.65755938598273e-10	1.1429873081196e-11	NA	NA	"Residuals  "	NA	"Endocytosis"	"Kegg99"	"Cellular Processes"	"Transport and catabolism"
7	8.54144977085188e-07	1.2202071101217e-07	0.854117163923963	0.55216019581288	"Plant      "	"ns"	"Epithelial cell signaling in Helicobacter pylori infection"	"Kegg100"	"Human Diseases"	"Infectious disease: bacterial"
1	2.14028920884018e-06	2.14028920884018e-06	14.9815366085624	0.000503071690962158	"sex        "	"***"	"Epithelial cell signaling in Helicobacter pylori infection"	"Kegg100"	"Human Diseases"	"Infectious disease: bacterial"
7	9.46382951175584e-07	1.35197564453655e-07	0.946352134508264	0.485664492136314	"Plant:sex  "	"ns"	"Epithelial cell signaling in Helicobacter pylori infection"	"Kegg100"	"Human Diseases"	"Infectious disease: bacterial"
32	4.57157743376884e-06	1.42861794805276e-07	NA	NA	"Residuals  "	NA	"Epithelial cell signaling in Helicobacter pylori infection"	"Kegg100"	"Human Diseases"	"Infectious disease: bacterial"
7	2.20089798200083e-08	3.14413997428689e-09	2.95839717305484	0.0165263279364135	"Plant      "	"*"	"Epstein-Barr virus infection"	"Kegg101"	"Human Diseases"	"Infectious disease: viral"
1	4.15912071223432e-10	4.15912071223432e-10	0.391341704189189	0.536031412407609	"sex        "	"ns"	"Epstein-Barr virus infection"	"Kegg101"	"Human Diseases"	"Infectious disease: viral"
7	2.31334654791472e-09	3.30478078273532e-10	0.310954798614765	0.943671919236067	"Plant:sex  "	"ns"	"Epstein-Barr virus infection"	"Kegg101"	"Human Diseases"	"Infectious disease: viral"
32	3.40091182122407e-08	1.06278494413252e-09	NA	NA	"Residuals  "	NA	"Epstein-Barr virus infection"	"Kegg101"	"Human Diseases"	"Infectious disease: viral"
7	5.71912509116359e-08	8.17017870166227e-09	5.11804240451322	0.000556064638396739	"Plant      "	"***"	"Estrogen signaling pathway"	"Kegg102"	"Organismal Systems"	"Endocrine system"
1	5.09340629017895e-09	5.09340629017895e-09	3.19066085681168	0.0835391802344844	"sex        "	"ns"	"Estrogen signaling pathway"	"Kegg102"	"Organismal Systems"	"Endocrine system"
7	1.36055945087866e-08	1.94365635839809e-09	1.21756402464725	0.321949429599967	"Plant:sex  "	"ns"	"Estrogen signaling pathway"	"Kegg102"	"Organismal Systems"	"Endocrine system"
32	5.10831481627904e-08	1.5963483800872e-09	NA	NA	"Residuals  "	NA	"Estrogen signaling pathway"	"Kegg102"	"Organismal Systems"	"Endocrine system"
7	1.06897487295832e-07	1.52710696136903e-08	3.13207379577638	0.0123414558394838	"Plant      "	"*"	"Ether lipid metabolism"	"Kegg103"	"Metabolism"	"Lipid metabolism"
1	3.49292208448914e-08	3.49292208448914e-08	7.16393154393678	0.0116318379541408	"sex        "	"*"	"Ether lipid metabolism"	"Kegg103"	"Metabolism"	"Lipid metabolism"
7	2.44658074446915e-08	3.49511534924165e-09	0.716842989751141	0.658362270866433	"Plant:sex  "	"ns"	"Ether lipid metabolism"	"Kegg103"	"Metabolism"	"Lipid metabolism"
32	1.56022577851477e-07	4.87570555785864e-09	NA	NA	"Residuals  "	NA	"Ether lipid metabolism"	"Kegg103"	"Metabolism"	"Lipid metabolism"
7	6.84166953136275e-09	9.7738136162325e-10	1.10923548394919	0.381323742059011	"Plant      "	"ns"	"Ethylbenzene degradation"	"Kegg104"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	1.30448838116271e-09	1.30448838116271e-09	1.48047103986303	0.232599137131306	"sex        "	"ns"	"Ethylbenzene degradation"	"Kegg104"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	6.77685855800873e-09	9.68122651144105e-10	1.0987277224936	0.387512226877644	"Plant:sex  "	"ns"	"Ethylbenzene degradation"	"Kegg104"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	2.81961801840236e-08	8.81130630750737e-10	NA	NA	"Residuals  "	NA	"Ethylbenzene degradation"	"Kegg104"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	1.71551616581116e-06	2.45073737973023e-07	4.9226651554721	0.000739293465763844	"Plant      "	"***"	"Exopolysaccharide biosynthesis"	"Kegg105"	"Metabolism"	"Glycan biosynthesis and metabolism"
1	3.01677961860635e-07	3.01677961860635e-07	6.05964393944432	0.0194052109770494	"sex        "	"*"	"Exopolysaccharide biosynthesis"	"Kegg105"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	3.41620177325255e-07	4.88028824750365e-08	0.980277409703146	0.462483385904882	"Plant:sex  "	"ns"	"Exopolysaccharide biosynthesis"	"Kegg105"	"Metabolism"	"Glycan biosynthesis and metabolism"
32	1.59311254522747e-06	4.97847670383584e-08	NA	NA	"Residuals  "	NA	"Exopolysaccharide biosynthesis"	"Kegg105"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	1.43258598215013e-11	2.04655140307162e-12	1.73586435512728	0.135773757774337	"Plant      "	"ns"	"Fanconi anemia pathway"	"Kegg106"	"Genetic Information Processing"	"Replication and repair"
1	9.9610915529922e-12	9.9610915529922e-12	8.4488978576579	0.00658149299959068	"sex        "	"**"	"Fanconi anemia pathway"	"Kegg106"	"Genetic Information Processing"	"Replication and repair"
7	7.48791117007066e-12	1.06970159572438e-12	0.907310154953258	0.513220387554663	"Plant:sex  "	"ns"	"Fanconi anemia pathway"	"Kegg106"	"Genetic Information Processing"	"Replication and repair"
32	3.77273977110326e-11	1.17898117846977e-12	NA	NA	"Residuals  "	NA	"Fanconi anemia pathway"	"Kegg106"	"Genetic Information Processing"	"Replication and repair"
7	1.36596617520105e-07	1.95138025028722e-08	4.31740157278443	0.00183673994110828	"Plant      "	"**"	"Fat digestion and absorption"	"Kegg107"	"Organismal Systems"	"Digestive system"
1	1.05278362925105e-08	1.05278362925105e-08	2.32926908841122	0.136785789617006	"sex        "	"ns"	"Fat digestion and absorption"	"Kegg107"	"Organismal Systems"	"Digestive system"
7	8.63236155736518e-08	1.23319450819503e-08	2.72842564049046	0.0244308723706743	"Plant:sex  "	"*"	"Fat digestion and absorption"	"Kegg107"	"Organismal Systems"	"Digestive system"
32	1.44633680598116e-07	4.51980251869114e-09	NA	NA	"Residuals  "	NA	"Fat digestion and absorption"	"Kegg107"	"Organismal Systems"	"Digestive system"
7	2.57739897597485e-07	3.68199853710693e-08	1.66063983762935	0.154434629765481	"Plant      "	"ns"	"Fatty acid biosynthesis"	"Kegg108"	"Metabolism"	"Lipid metabolism"
1	1.3520187798993e-07	1.3520187798993e-07	6.09781949801629	0.0190575803149221	"sex        "	"*"	"Fatty acid biosynthesis"	"Kegg108"	"Metabolism"	"Lipid metabolism"
7	3.45317861118268e-07	4.93311230168954e-08	2.22491202240453	0.0582274535820521	"Plant:sex  "	"ns"	"Fatty acid biosynthesis"	"Kegg108"	"Metabolism"	"Lipid metabolism"
32	7.09509374143531e-07	2.21721679419853e-08	NA	NA	"Residuals  "	NA	"Fatty acid biosynthesis"	"Kegg108"	"Metabolism"	"Lipid metabolism"
7	1.13522275061856e-06	1.62174678659794e-07	7.68311400371998	1.90558253213539e-05	"Plant      "	"***"	"Fatty acid degradation"	"Kegg109"	"Metabolism"	"Lipid metabolism"
1	1.63959833115189e-07	1.63959833115189e-07	7.76768667134225	0.00887222280390209	"sex        "	"**"	"Fatty acid degradation"	"Kegg109"	"Metabolism"	"Lipid metabolism"
7	3.28965729939937e-07	4.69951042771338e-08	2.22641874034706	0.0580754009023945	"Plant:sex  "	"ns"	"Fatty acid degradation"	"Kegg109"	"Metabolism"	"Lipid metabolism"
32	6.7545395195239e-07	2.11079359985122e-08	NA	NA	"Residuals  "	NA	"Fatty acid degradation"	"Kegg109"	"Metabolism"	"Lipid metabolism"
7	5.10414521527488e-07	7.29163602182125e-08	4.15402674326656	0.00236538221872833	"Plant      "	"**"	"Fatty acid metabolism"	"Kegg110"	"Metabolism"	"Global and overview maps"
1	2.43809456772607e-09	2.43809456772607e-09	0.138897635683375	0.711836579978364	"sex        "	"ns"	"Fatty acid metabolism"	"Kegg110"	"Metabolism"	"Global and overview maps"
7	1.64997386906851e-07	2.35710552724073e-08	1.3428371037113	0.263059753431777	"Plant:sex  "	"ns"	"Fatty acid metabolism"	"Kegg110"	"Metabolism"	"Global and overview maps"
32	5.617016141663e-07	1.75531754426969e-08	NA	NA	"Residuals  "	NA	"Fatty acid metabolism"	"Kegg110"	"Metabolism"	"Global and overview maps"
7	2.40035267674397e-11	3.42907525249139e-12	0.300009915082326	0.948665938759923	"Plant      "	"ns"	"Fc gamma R-mediated phagocytosis"	"Kegg111"	"Organismal Systems"	"Immune system"
1	7.99343280904562e-13	7.99343280904562e-13	0.06993457190873	0.79312793974666	"sex        "	"ns"	"Fc gamma R-mediated phagocytosis"	"Kegg111"	"Organismal Systems"	"Immune system"
7	8.54731398409484e-11	1.22104485487069e-11	1.06829257525134	0.405866037336839	"Plant:sex  "	"ns"	"Fc gamma R-mediated phagocytosis"	"Kegg111"	"Organismal Systems"	"Immune system"
32	3.65755938598273e-10	1.1429873081196e-11	NA	NA	"Residuals  "	NA	"Fc gamma R-mediated phagocytosis"	"Kegg111"	"Organismal Systems"	"Immune system"
7	6.25689622019944e-08	8.93842317171349e-09	3.35296355371088	0.00855076441524958	"Plant      "	"**"	"Ferroptosis"	"Kegg112"	"Cellular Processes"	"Cell growth and death"
1	7.54698228114949e-10	7.54698228114949e-10	0.283100900942746	0.598351019961963	"sex        "	"ns"	"Ferroptosis"	"Kegg112"	"Cellular Processes"	"Cell growth and death"
7	4.20805913825192e-08	6.0115130546456e-09	2.255026841722	0.0552630085600709	"Plant:sex  "	"ns"	"Ferroptosis"	"Kegg112"	"Cellular Processes"	"Cell growth and death"
32	8.5306486907163e-08	2.66582771584884e-09	NA	NA	"Residuals  "	NA	"Ferroptosis"	"Kegg112"	"Cellular Processes"	"Cell growth and death"
7	4.7141993075047e-06	6.73457043929242e-07	0.772203616248465	0.614763326344373	"Plant      "	"ns"	"Flagellar assembly"	"Kegg113"	"Cellular Processes"	"Cell motility"
1	9.78953847762236e-06	9.78953847762236e-06	11.224943122902	0.00208128574989993	"sex        "	"**"	"Flagellar assembly"	"Kegg113"	"Cellular Processes"	"Cell motility"
7	4.23097256322856e-06	6.04424651889794e-07	0.693049254063571	0.677280465694095	"Plant:sex  "	"ns"	"Flagellar assembly"	"Kegg113"	"Cellular Processes"	"Cell motility"
32	2.79079571142563e-05	8.72123659820508e-07	NA	NA	"Residuals  "	NA	"Flagellar assembly"	"Kegg113"	"Cellular Processes"	"Cell motility"
7	9.32020213371596e-10	1.33145744767371e-10	0.648523943749357	0.71275941114418	"Plant      "	"ns"	"Flavone and flavonol biosynthesis"	"Kegg114"	"Metabolism"	"Biosynthesis of other secondary metabolites"
1	1.77869375958203e-10	1.77869375958203e-10	0.866363017234928	0.358933474677107	"sex        "	"ns"	"Flavone and flavonol biosynthesis"	"Kegg114"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	1.26804164797006e-09	1.81148806852866e-10	0.88233641135861	0.531311860318256	"Plant:sex  "	"ns"	"Flavone and flavonol biosynthesis"	"Kegg114"	"Metabolism"	"Biosynthesis of other secondary metabolites"
32	6.56978647222089e-09	2.05305827256903e-10	NA	NA	"Residuals  "	NA	"Flavone and flavonol biosynthesis"	"Kegg114"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	2.31162216934283e-07	3.30231738477547e-08	5.40377061463589	0.000369454226258956	"Plant      "	"***"	"Fluid shear stress and atherosclerosis"	"Kegg115"	"Human Diseases"	"Cardiovascular disease"
1	5.77714627105156e-08	5.77714627105156e-08	9.45347452061587	0.00428919192156779	"sex        "	"**"	"Fluid shear stress and atherosclerosis"	"Kegg115"	"Human Diseases"	"Cardiovascular disease"
7	3.45609598671212e-08	4.93727998101731e-09	0.807915332446624	0.587129531751677	"Plant:sex  "	"ns"	"Fluid shear stress and atherosclerosis"	"Kegg115"	"Human Diseases"	"Cardiovascular disease"
32	1.9555633251086e-07	6.11113539096438e-09	NA	NA	"Residuals  "	NA	"Fluid shear stress and atherosclerosis"	"Kegg115"	"Human Diseases"	"Cardiovascular disease"
7	3.27999169820973e-07	4.6857024260139e-08	1.250217935902	0.305613361431242	"Plant      "	"ns"	"Fluorobenzoate degradation"	"Kegg116"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	3.27820191926198e-07	3.27820191926198e-07	8.74675014404666	0.00578830358595046	"sex        "	"**"	"Fluorobenzoate degradation"	"Kegg116"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	2.39745821433548e-07	3.42494030619354e-08	0.913827087359332	0.508557735842932	"Plant:sex  "	"ns"	"Fluorobenzoate degradation"	"Kegg116"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	1.19933071928188e-06	3.74790849775587e-08	NA	NA	"Residuals  "	NA	"Fluorobenzoate degradation"	"Kegg116"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	2.61772524409472e-07	3.73960749156389e-08	1.532467018866	0.191948943343355	"Plant      "	"ns"	"Folate biosynthesis"	"Kegg117"	"Metabolism"	"Metabolism of cofactors and vitamins"
1	1.8042607710702e-07	1.8042607710702e-07	7.39374421336001	0.0104850967442096	"sex        "	"*"	"Folate biosynthesis"	"Kegg117"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	1.47880092101198e-07	2.11257274430283e-08	0.865718678471636	0.543538922591191	"Plant:sex  "	"ns"	"Folate biosynthesis"	"Kegg117"	"Metabolism"	"Metabolism of cofactors and vitamins"
32	7.80881012490542e-07	2.44025316403294e-08	NA	NA	"Residuals  "	NA	"Folate biosynthesis"	"Kegg117"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	1.58735648751192e-07	2.26765212501703e-08	4.1455792896555	0.00239672566744177	"Plant      "	"**"	"Folate transport and metabolism"	"Kegg118"	"Organismal Systems"	"Digestive system"
1	6.85324932908222e-09	6.85324932908222e-09	1.25286802909751	0.271337087430784	"sex        "	"ns"	"Folate transport and metabolism"	"Kegg118"	"Organismal Systems"	"Digestive system"
7	2.48925096562194e-08	3.55607280803134e-09	0.650098911682542	0.711505562918466	"Plant:sex  "	"ns"	"Folate transport and metabolism"	"Kegg118"	"Organismal Systems"	"Digestive system"
32	1.75041563386851e-07	5.4700488558391e-09	NA	NA	"Residuals  "	NA	"Folate transport and metabolism"	"Kegg118"	"Organismal Systems"	"Digestive system"
7	4.24871664647266e-08	6.06959520924666e-09	2.81705261615211	0.0210030657866002	"Plant      "	"*"	"FoxO signaling pathway"	"Kegg119"	"Environmental Information Processing"	"Signal transduction"
1	1.34846557101436e-08	1.34846557101436e-08	6.25856969642716	0.0176663670843703	"sex        "	"*"	"FoxO signaling pathway"	"Kegg119"	"Environmental Information Processing"	"Signal transduction"
7	4.01881035944831e-08	5.74115765635473e-09	2.66461644277975	0.027250590910025	"Plant:sex  "	"*"	"FoxO signaling pathway"	"Kegg119"	"Environmental Information Processing"	"Signal transduction"
32	6.89469005947049e-08	2.15459064358453e-09	NA	NA	"Residuals  "	NA	"FoxO signaling pathway"	"Kegg119"	"Environmental Information Processing"	"Signal transduction"
7	1.5358144651779e-05	2.19402066453985e-06	4.9666039430514	0.000693164972272852	"Plant      "	"***"	"Fructose and mannose metabolism"	"Kegg120"	"Metabolism"	"Carbohydrate metabolism"
1	1.52786847772093e-07	1.52786847772093e-07	0.345863543063036	0.560592061624442	"sex        "	"ns"	"Fructose and mannose metabolism"	"Kegg120"	"Metabolism"	"Carbohydrate metabolism"
7	1.34209172722494e-06	1.91727389603563e-07	0.434013236331901	0.873443741034959	"Plant:sex  "	"ns"	"Fructose and mannose metabolism"	"Kegg120"	"Metabolism"	"Carbohydrate metabolism"
32	1.41361505910899e-05	4.41754705971558e-07	NA	NA	"Residuals  "	NA	"Fructose and mannose metabolism"	"Kegg120"	"Metabolism"	"Carbohydrate metabolism"
7	6.78034213232095e-10	9.68620304617279e-11	1.06417802553005	0.408396133377395	"Plant      "	"ns"	"Furfural degradation"	"Kegg121"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	3.15411289576381e-10	3.15411289576381e-10	3.46527696943029	0.071877250911659	"sex        "	"ns"	"Furfural degradation"	"Kegg121"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	4.18914400985918e-10	5.98449144265596e-11	0.657488208422749	0.705620203265006	"Plant:sex  "	"ns"	"Furfural degradation"	"Kegg121"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	2.91265643568559e-09	9.10205136151747e-11	NA	NA	"Residuals  "	NA	"Furfural degradation"	"Kegg121"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	2.48493399456584e-08	3.54990570652264e-09	0.725003475585701	0.651892333923055	"Plant      "	"ns"	"GABAergic synapse"	"Kegg122"	"Organismal Systems"	"Nervous system"
1	9.03325166586893e-10	9.03325166586893e-10	0.184487684885879	0.670422984897775	"sex        "	"ns"	"GABAergic synapse"	"Kegg122"	"Organismal Systems"	"Nervous system"
7	4.55724831948333e-08	6.51035474211904e-09	1.32962118026389	0.268798551960082	"Plant:sex  "	"ns"	"GABAergic synapse"	"Kegg122"	"Organismal Systems"	"Nervous system"
32	1.56684742120655e-07	4.89639819127047e-09	NA	NA	"Residuals  "	NA	"GABAergic synapse"	"Kegg122"	"Organismal Systems"	"Nervous system"
7	8.95828650470174e-06	1.27975521495739e-06	4.58703215914071	0.00121817247939774	"Plant      "	"**"	"Galactose metabolism"	"Kegg123"	"Metabolism"	"Carbohydrate metabolism"
1	1.17661571847535e-06	1.17661571847535e-06	4.2173488152393	0.0482601574362279	"sex        "	"*"	"Galactose metabolism"	"Kegg123"	"Metabolism"	"Carbohydrate metabolism"
7	1.75818130708579e-06	2.51168758155113e-07	0.900265267578766	0.51828830734412	"Plant:sex  "	"ns"	"Galactose metabolism"	"Kegg123"	"Metabolism"	"Carbohydrate metabolism"
32	8.92781333504061e-06	2.78994166720019e-07	NA	NA	"Residuals  "	NA	"Galactose metabolism"	"Kegg123"	"Metabolism"	"Carbohydrate metabolism"
7	5.13998389045204e-08	7.34283412921720e-09	2.56232704569206	0.0324850707280413	"Plant      "	"*"	"Glucagon signaling pathway"	"Kegg124"	"Organismal Systems"	"Endocrine system"
1	6.64293043172845e-09	6.64293043172845e-09	2.31809135387391	0.137698768646012	"sex        "	"ns"	"Glucagon signaling pathway"	"Kegg124"	"Organismal Systems"	"Endocrine system"
7	6.55538816503058e-08	9.36484023575797e-09	3.26791848929127	0.00984230318669666	"Plant:sex  "	"**"	"Glucagon signaling pathway"	"Kegg124"	"Organismal Systems"	"Endocrine system"
32	9.17020692303887e-08	2.86568966344965e-09	NA	NA	"Residuals  "	NA	"Glucagon signaling pathway"	"Kegg124"	"Organismal Systems"	"Endocrine system"
7	1.75152360079956e-07	2.5021765725708e-08	2.52286558683505	0.0347697220336583	"Plant      "	"*"	"Glucosinolate biosynthesis"	"Kegg125"	"Metabolism"	"Biosynthesis of other secondary metabolites"
1	4.86334180829598e-10	4.86334180829598e-10	0.0490355389770117	0.826157114401727	"sex        "	"ns"	"Glucosinolate biosynthesis"	"Kegg125"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	1.14578550401872e-07	1.63683643431246e-08	1.65037046412833	0.157164505803741	"Plant:sex  "	"ns"	"Glucosinolate biosynthesis"	"Kegg125"	"Metabolism"	"Biosynthesis of other secondary metabolites"
32	3.17375807653365e-07	9.91799398916765e-09	NA	NA	"Residuals  "	NA	"Glucosinolate biosynthesis"	"Kegg125"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	2.07414841667366e-08	2.96306916667666e-09	1.099933259699	0.386798365097844	"Plant      "	"ns"	"Glutamatergic synapse"	"Kegg126"	"Organismal Systems"	"Nervous system"
1	7.69861331980121e-10	7.69861331980121e-10	0.285783434934415	0.596630527305976	"sex        "	"ns"	"Glutamatergic synapse"	"Kegg126"	"Organismal Systems"	"Nervous system"
7	4.09999453994639e-08	5.85713505706628e-09	2.17425152550252	0.0635796242173594	"Plant:sex  "	"ns"	"Glutamatergic synapse"	"Kegg126"	"Organismal Systems"	"Nervous system"
32	8.62036059893308e-08	2.69386268716659e-09	NA	NA	"Residuals  "	NA	"Glutamatergic synapse"	"Kegg126"	"Organismal Systems"	"Nervous system"
7	1.49013223539048e-06	2.12876033627211e-07	1.46334513552516	0.215545435218929	"Plant      "	"ns"	"Glutathione metabolism"	"Kegg127"	"Metabolism"	"Metabolism of other amino acids"
1	9.32363026194943e-10	9.32363026194943e-10	0.00640921796445708	0.936690040520974	"sex        "	"ns"	"Glutathione metabolism"	"Kegg127"	"Metabolism"	"Metabolism of other amino acids"
7	1.09229381003819e-06	1.56041972862599e-07	1.07265838260642	0.403194130323159	"Plant:sex  "	"ns"	"Glutathione metabolism"	"Kegg127"	"Metabolism"	"Metabolism of other amino acids"
32	4.65511034321104e-06	1.45472198225345e-07	NA	NA	"Residuals  "	NA	"Glutathione metabolism"	"Kegg127"	"Metabolism"	"Metabolism of other amino acids"
7	1.79578686145106e-06	2.56540980207294e-07	3.8205325387487	0.00400269482446232	"Plant      "	"**"	"Glycerolipid metabolism"	"Kegg128"	"Metabolism"	"Lipid metabolism"
1	8.53105855479017e-09	8.53105855479017e-09	0.127048656211612	0.723851465732001	"sex        "	"ns"	"Glycerolipid metabolism"	"Kegg128"	"Metabolism"	"Lipid metabolism"
7	1.68085389080235e-07	2.40121984400336e-08	0.357601290027468	0.919922171274126	"Plant:sex  "	"ns"	"Glycerolipid metabolism"	"Kegg128"	"Metabolism"	"Lipid metabolism"
32	2.14873483823857e-06	6.71479636949554e-08	NA	NA	"Residuals  "	NA	"Glycerolipid metabolism"	"Kegg128"	"Metabolism"	"Lipid metabolism"
7	1.1114510921781e-06	1.58778727454014e-07	3.81020496999099	0.00406927366588388	"Plant      "	"**"	"Glycerophospholipid metabolism"	"Kegg129"	"Metabolism"	"Lipid metabolism"
1	6.21643169097319e-07	6.21643169097319e-07	14.9175392096624	0.000514805409228923	"sex        "	"***"	"Glycerophospholipid metabolism"	"Kegg129"	"Metabolism"	"Lipid metabolism"
7	7.88380951724279e-07	1.12625850246326e-07	2.70267674542419	0.0255308390878463	"Plant:sex  "	"*"	"Glycerophospholipid metabolism"	"Kegg129"	"Metabolism"	"Lipid metabolism"
32	1.33350287413553e-06	4.16719648167353e-08	NA	NA	"Residuals  "	NA	"Glycerophospholipid metabolism"	"Kegg129"	"Metabolism"	"Lipid metabolism"
7	1.27135701257722e-06	1.81622430368175e-07	3.92143211869561	0.00340909792412731	"Plant      "	"**"	"Glycine, serine and threonine metabolism"	"Kegg130"	"Metabolism"	"Amino acid metabolism"
